parent_alias,alias,name,datatype,cardinality,ontology_class,parent_property,description,collection_name,required,searchable,exportable,sortorder
,name,Name,string,1,http://www.cidoc-crm.org/cidoc-crm/E41_Appellation,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Display name of the person.,,true,true,true,1
,role_titles,Role titles,concept-list,n,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,"Service roles the person holds (coordinator, responder, reviewer, etc.). Repeatable.",ServiceRole,false,true,true,2
,contact_handle,Contact handle,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,"Single free-text contact string (phone, email, radio callsign).",,false,false,true,3
,primary_site,Primary site,resource-instance,1,http://www.cidoc-crm.org/cidoc-crm/E53_Place,http://www.cidoc-crm.org/cidoc-crm/P74_has_current_or_former_residence,Site resource where the person is normally stationed.,,false,true,true,4
,notes,Notes,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,Free-text reviewer notes.,,false,false,true,5
