parent_alias,alias,name,datatype,cardinality,ontology_class,parent_property,description,collection_name,required,searchable,exportable,sortorder
,scenario_id,Scenario ID,string,1,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,Primary identifier for this scenario event.,,true,true,true,1
,name,Name,string,1,http://www.cidoc-crm.org/cidoc-crm/E41_Appellation,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Human-readable scenario name.,,true,true,true,2
,event_type,Event type,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,Event-type classification drawn from the EventType collection.,EventType,false,true,true,3
,event_span,Event time-span,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E52_Time-Span,http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span,Semantic wrapper for the scenario's time bracket.,,false,false,true,4
event_span,start_date,Start date,date,1,http://www.cidoc-crm.org/cidoc-crm/E61_Time_Primitive,http://www.cidoc-crm.org/cidoc-crm/P82a_begin_of_the_begin,Earliest start of the scenario.,,false,false,true,5
event_span,end_date,End date,date,1,http://www.cidoc-crm.org/cidoc-crm/E61_Time_Primitive,http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end,Latest end of the scenario.,,false,false,true,6
,hazard_models_used,Hazard models used,resource-instance-list,n,http://www.w3.org/ns/sosa/Procedure,http://www.w3.org/ns/sosa/usedProcedure,HazardModel procedures used to generate footprints for this scenario.,,false,true,true,7
,notes,Notes,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,Free-text reviewer notes.,,false,false,true,8
