parent_alias,alias,name,datatype,cardinality,ontology_class,parent_property,description,collection_name,required,searchable,exportable,sortorder
,name,Name,string,1,http://www.cidoc-crm.org/cidoc-crm/E41_Appellation,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Human-readable organisation name.,,true,true,true,1
,legal_identifier,Legal identifier,string,1,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,"Formal identifier (LEI, company registration number, government agency code).",,false,true,true,2
,sector,Sector,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,ISIC rev 4 sector category.,Sector,false,true,true,3
,size_band,Size band,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,Size tier (micro / small / medium / large / very_large).,SizeBand,false,true,true,4
,service_roles,Service roles,concept-list,n,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,"Critical-service roles the organisation fills (shelter operator, hospital, school authority, fire, police, EOC, muster, substation, water). Repeatable.",ServiceRole,false,true,true,5
,registered_location,Registered location,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E53_Place,http://www.cidoc-crm.org/cidoc-crm/P74_has_current_or_former_residence,Semantic wrapper for the organisation's registered address as a Place.,,false,false,true,6
registered_location,registered_site,Registered site,resource-instance,1,http://www.cidoc-crm.org/cidoc-crm/E53_Place,http://www.cidoc-crm.org/cidoc-crm/P89_falls_within,Site resource containing the registered address.,,false,true,true,7
,notes,Notes,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,Free-text reviewer notes.,,false,false,true,8
